18,1,13,8,8,11,11,11,11,46,46,46,46,46,46,46
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,6,16,1,140,247,19,17,SUCCESS,-1
128,96,9,100,0,6,16,2,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,4,140,247,11,10,SUCCESS,-1
128,96,9,100,0,6,16,8,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,16,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,32,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,64,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,32,1,140,247,18,15,SUCCESS,-1
128,96,9,100,0,6,32,2,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,32,4,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,32,8,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,32,16,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,32,32,140,247,17,15,SUCCESS,-1
128,96,9,100,0,6,64,1,140,247,17,15,SUCCESS,-1
128,96,9,100,0,6,64,2,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,64,4,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,64,8,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,64,16,140,247,17,16,SUCCESS,-1
128,96,9,100,0,7,1,16,140,247,10,9,SUCCESS,-1
128,96,9,100,0,7,1,32,140,247,6,5,SUCCESS,-1
128,96,9,100,0,7,1,64,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,128,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,256,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,512,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,1024,140,247,11,10,SUCCESS,-1
128,96,9,100,0,7,2,8,140,247,11,10,SUCCESS,-1
128,96,9,100,0,7,2,16,140,247,7,6,SUCCESS,-1
128,96,9,100,0,7,2,32,140,247,6,5,SUCCESS,-1
128,96,9,100,0,7,2,64,140,247,5,4,SUCCESS,-1
128,96,9,100,0,7,2,128,140,247,5,4,SUCCESS,-1
128,96,9,100,0,7,2,256,140,247,5,4,SUCCESS,-1
128,96,9,100,0,7,2,512,140,247,8,7,SUCCESS,-1
128,96,9,100,0,7,4,4,140,247,13,12,SUCCESS,-1
128,96,9,100,0,7,4,8,140,247,8,7,SUCCESS,-1
128,96,9,100,0,7,4,16,140,247,8,6,SUCCESS,-1
128,96,9,100,0,7,4,32,140,247,7,6,SUCCESS,-1
128,96,9,100,0,7,4,64,140,247,7,6,SUCCESS,-1
128,96,9,100,0,7,4,128,140,247,7,6,SUCCESS,-1
128,96,9,100,0,7,4,256,140,247,7,6,SUCCESS,-1
128,96,9,100,0,7,8,2,140,247,15,14,SUCCESS,-1
128,96,9,100,0,7,8,4,140,247,10,9,SUCCESS,-1
128,96,9,100,0,7,8,8,140,247,9,8,SUCCESS,-1
128,96,9,100,0,7,8,16,140,247,9,8,SUCCESS,-1
128,96,9,100,0,7,8,32,140,247,9,8,SUCCESS,-1
128,96,9,100,0,7,8,64,140,247,9,8,SUCCESS,-1
128,96,9,100,0,7,8,128,140,247,10,9,SUCCESS,-1
128,96,9,100,0,7,16,1,140,247,21,18,SUCCESS,-1
