18,1,12,8,8,11,11,11,11,46,46,46,46,46,46
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,8,4,128,140,247,4,2,SUCCESS,-10
128,96,9,100,0,8,4,256,140,247,4,2,SUCCESS,-10
128,96,9,100,0,8,8,2,140,247,11,9,SUCCESS,-10
128,96,9,100,0,8,8,4,140,247,7,5,SUCCESS,-10
128,96,9,100,0,8,8,8,140,247,5,3,SUCCESS,-10
128,96,9,100,0,8,8,16,140,247,4,2,SUCCESS,-10
128,96,9,100,0,8,8,32,140,247,4,2,SUCCESS,-10
128,96,9,100,0,8,8,64,140,247,4,2,SUCCESS,-10
128,96,9,100,0,8,8,128,140,247,5,3,SUCCESS,-10
128,96,9,100,0,8,16,1,140,247,17,12,SUCCESS,10
128,96,9,100,0,8,16,2,140,247,8,6,SUCCESS,-10
128,96,9,100,0,8,16,4,140,247,6,4,SUCCESS,-10
128,96,9,100,0,8,16,8,140,247,6,4,SUCCESS,-10
128,96,9,100,0,8,16,16,140,247,6,4,SUCCESS,-10
128,96,9,100,0,8,16,32,140,247,6,4,SUCCESS,-10
128,96,9,100,0,8,16,64,140,247,6,4,SUCCESS,-10
128,96,9,100,0,8,32,1,140,247,11,9,SUCCESS,-10
128,96,9,100,0,8,32,2,140,247,10,7,SUCCESS,-10
128,96,9,100,0,8,32,4,140,247,9,7,SUCCESS,-10
128,96,9,100,0,8,32,8,140,247,9,7,SUCCESS,-10
128,96,9,100,0,8,32,16,140,247,10,8,SUCCESS,-10
128,96,9,100,0,8,32,32,140,247,11,8,SUCCESS,-10
128,96,9,100,0,8,64,1,140,247,10,8,SUCCESS,-10
128,96,9,100,0,8,64,2,140,247,10,7,SUCCESS,-10
128,96,9,100,0,8,64,4,140,247,10,8,SUCCESS,-10
128,96,9,100,0,8,64,8,140,247,10,8,SUCCESS,-10
128,96,9,100,0,8,64,16,140,247,10,8,SUCCESS,-10
128,96,9,100,0,9,1,16,140,247,10,8,SUCCESS,-10
128,96,9,100,0,9,1,32,140,247,7,5,SUCCESS,-10
128,96,9,100,0,9,1,64,140,247,4,3,SUCCESS,-10
128,96,9,100,0,9,1,128,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,1,256,140,247,5,2,SUCCESS,-10
128,96,9,100,0,9,1,512,140,247,5,2,SUCCESS,-10
128,96,9,100,0,9,1,1024,140,247,12,9,SUCCESS,-10
128,96,9,100,0,9,2,8,140,247,10,8,SUCCESS,-10
128,96,9,100,0,9,2,16,140,247,6,4,SUCCESS,-10
128,96,9,100,0,9,2,32,140,247,4,3,SUCCESS,-10
128,96,9,100,0,9,2,64,140,247,3,2,SUCCESS,-10
128,96,9,100,0,9,2,128,140,247,4,1,SUCCESS,-10
128,96,9,100,0,9,2,256,140,247,5,2,SUCCESS,-10
128,96,9,100,0,9,2,512,140,247,7,5,SUCCESS,-10
128,96,9,100,0,9,4,4,140,247,11,8,SUCCESS,-10
128,96,9,100,0,9,4,8,140,247,6,4,SUCCESS,-10
128,96,9,100,0,9,4,16,140,247,5,3,SUCCESS,-10
128,96,9,100,0,9,4,32,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,4,64,140,247,3,2,SUCCESS,-10
128,96,9,100,0,9,4,128,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,4,256,140,247,5,3,SUCCESS,-10
128,96,9,100,0,9,8,2,140,247,11,9,SUCCESS,-10
128,96,9,100,0,9,8,4,140,247,8,5,SUCCESS,-10
128,96,9,100,0,9,8,8,140,247,4,3,SUCCESS,-10
128,96,9,100,0,9,8,16,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,8,32,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,8,64,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,8,128,140,247,4,2,SUCCESS,-10
128,96,9,100,0,9,16,1,140,247,14,12,SUCCESS,-10
128,96,9,100,0,9,16,2,140,247,7,6,SUCCESS,-10
128,96,9,100,0,9,16,4,140,247,6,4,SUCCESS,-10
128,96,9,100,0,9,16,8,140,247,4,3,SUCCESS,-10
128,96,9,100,0,9,16,16,140,247,5,3,SUCCESS,-10
128,96,9,100,0,9,16,32,140,247,5,3,SUCCESS,-10
128,96,9,100,0,9,16,64,140,247,5,3,SUCCESS,-10
